State,Annual average
FL,84383.33
IL,173775
CO,238975
OH,364816.67
MS,190250
MI,76558.33
NJ,253125
FL,381016.67
PA,154966.67
DE,341175
CA,159491.67
FL,193733.33
FL,245325
MO,237966.67
VA,338691.67
CA,338491.67
CO,376650
AL,134133.33
VA,229741.67
FL,166241.67
AZ,188741.67
GA,133008.33
MA,674366.67
TX,167533.33
TX,116716.67
CA,582750
AL,107316.67
FL,201191.67
AZ,223750
CA,406041.67
GA,272850
MN,208091.67
TX,134475
TX,163666.67
AZ,166216.67
CA,326683.33
AZ,308075
FL,166433.33
CA,529866.67
TN,164300
TN,93250
UT,335425
CA,803433.33
AZ,241475
MI,239875
AK,322400
CA,349983.33
MD,265550
MS,120408.33
TX,263150
MD,343358.33
TN,134375
CA,790350
FL,322691.67
WA,273400
CO,392283.33
FL,135550
PA,430216.67
IA,127616.67
LA,199508.33
CA,510466.67
NY,134516.67
ID,215841.67
AZ,297191.67
IN,234275
CA,323750
FL,190866.67
TN,281000
OH,105933.33
IL,389350
OH,147558.33
VA,531366.67
CA,1121766.67
TX,343116.67
CA,810450
CO,397808.33
CA,679850
GA,283066.67
FL,221716.67
CA,451750
IL,418850
MI,89708.33
TN,43516.67
FL,624275
GA,254116.67
LA,394933.33
NY,210708.33
MN,248458.33
CA,706483.33
AR,103083.33
NY,544808.33
CA,895950
OK,122883.33
MI,108683.33
NJ,299241.67
UT,428891.67
MI,88258.33
CO,564441.67
GA,117433.33
CA,401100
ID,278091.67
IL,339800
MO,149541.67
TX,224158.33
LA,159125
WA,344933.33
NC,67866.67
CO,414658.33
TX,199550
NJ,179366.67
FL,332733.33
NC,78816.67
TN,235891.67
GA,277150
NV,284625
MI,399000
NC,304216.67
MO,120616.67
NJ,545558.33
MD,256358.33
IL,229583.33
LA,126883.33
IA,242350
OK,188958.33
NC,200516.67
MI,178108.33
PA,89808.33
CA,894908.33
IL,203258.33
AR,103616.67
OK,225608.33
TX,165433.33
FL,318641.67
GA,211916.67
CA,323558.33
IN,107558.33
NY,174466.67
FL,244550
TX,293083.33
CO,468216.67
MA,499541.67
TX,364541.67
FL,281291.67
NV,253816.67
MA,1341291.67
IN,77608.33
AZ,363541.67
CA,428208.33
NJ,341708.33
GA,236833.33
OR,443816.67
CA,2734083.33
KY,189700
CA,816533.33
PA,388450
NJ,138508.33
TX,192250
IL,81758.33
IN,109058.33
AR,231591.67
OR,350216.67
OH,188483.33
FL,237675
CA,235475
OH,111375
CA,580108.33
IL,74550
NJ,196083.33
FL,258858.33
LA,147675
FL,225366.67
MO,129608.33
MA,197116.67
LA,274458.33
VA,234916.67
MO,81925
NJ,352975
NC,123266.67
ND,241525
AZ,190825
NM,375341.67
SC,209108.33
TX,272683.33
CA,720216.67
TX,161433.33
GA,885916.67
TX,151475
UT,209766.67
CA,746241.67
MI,209708.33
GA,200500
ME,142025
CA,2055275
TX,308491.67
TX,122675
TN,206558.33
OR,356591.67
GA,155866.67
NY,143766.67
CA,237616.67
NC,115408.33
