State,Average Crime Rate,Labor Force,Unemployed,Total State Tax,Annual Home Price,Annual Wages per Employee,Crime Rate / Labor Force,Unemployed / Labor Force,Crime Rate WSA,Labor Force WSA,Unemployed WSA,Total State Tax WSA,Home Price WSA,Wages WSA,Total WSA
AR,335,1351498,50038,9843173.0,127237.5,26772.0,0.02478731008111,3.7024102144435287,0.9005376344086021,0.011611877768253419,0.9042249448841664,0.999266527098702,0.20877430470095987,0.10026740972112987,3.124682698581814
KY,99,2061631,89319,12059970.0,135425.0,27790.0,0.004802023252463705,4.332443584715208,0.2661290322580645,0.01771323906897536,1.614062669413423,1.2243129668466186,0.22220854869144308,0.10408005812603462,3.4485065144045595
OR,167,2104519,87365,12644869.0,302187.5,29935.0,0.007935304931910806,4.151304882493339,0.44892473118279563,0.018081726638860665,1.5787523943763777,1.2836911767423,0.4958364098777586,0.11211358546249896,3.9374000242805915
NV,435,1500379,68419,9157036.0,299350.0,37919.0,0.028992674517571895,4.560114477741957,1.1693548387096775,0.012891042054116463,1.236383678484947,0.9296107629356701,0.491180572647469,0.14201553523141802,3.981436430063298
AL,386,2198844,86493,11055577.0,133891.67,31376.0,0.017554678731187844,3.933566910613031,1.0376344086021505,0.01889215356549356,1.5629946871950557,1.1223482543547987,0.21969262449749774,0.11751046792955963,4.079072596144556
MO,270,3052398,97585,13027504.0,151025.0,25145.0,0.008845504419803708,3.1969946252094252,0.7258064516129031,0.026225767611984033,1.763435613863891,1.3225358000763014,0.24780539830995157,0.09417391369482334,4.179982945169854
WI,143,3133301,94006,18742929.0,173850.0,28026.0,0.0045638768825593205,3.000222449103996,0.3844086021505376,0.026920874631813144,1.698760345513029,1.9027585484363168,0.2852571991139552,0.10496393339475518,4.403069503240406
CT,181,1905313,78243,19081475.0,250791.67,44501.0,0.009499751484401776,4.106569366817945,0.48655913978494625,0.01637017714141214,1.4139108749864469,1.9371273120131796,0.411504914266962,0.16666666666666666,4.432139084859614
SC,581,2323214,79555,10550096.0,144158.33,29564.0,0.02500845811018701,3.4243509207503053,1.5618279569892473,0.01996072284050372,1.4376197188188948,1.0710324598051773,0.23653840347854618,0.11072410357819674,4.437703365510566
LA,398,2103502,102708,11357686.0,142550.0,30354.0,0.018920828218846476,4.882714634927849,1.0698924731182795,0.018072988720128774,1.856012143554158,1.153017979578084,0.2338994175075888,0.1136828385878969,4.444577841066136
CO,182,3096364,101608,14802263.0,370450.0,26683.0,0.005877861905124849,3.2815263321754164,0.489247311827957,0.026603517203888,1.8361343019263434,1.5027070987385482,0.6078431372549019,0.09993408387826491,4.562469450829902
IN,139,3381721,116142,19397879.0,130333.33,27005.0,0.0041103331705956815,3.4344051445994515,0.37365591397849457,0.029055263787542203,2.0987748021251216,1.9692482476342579,0.21385401591598985,0.10114004928728193,4.785728292728687
TN,401,3244928,113266,14269061.0,125095.83,27339.0,0.012357747228906158,3.4905551063074434,1.0779569892473118,0.027879957871031275,2.046803281650945,1.448577103178978,0.20526020182131427,0.10239095750657287,4.908868491276153
MN,134,3070229,89340,26697469.0,205158.33,32379.0,0.0043644952868336535,2.909880663624765,0.3602150537634408,0.026378969017006995,1.6144421554808628,2.71029343179839,0.33662864878168836,0.12126693782162198,5.16922519666301
VA,173,4331384,128585,23489398.0,224033.33,28561.0,0.003994104424821258,2.9686816038476387,0.46505376344086025,0.03721463263383931,2.3236293324659365,2.3846141039174253,0.3675991959963901,0.10696763368613439,5.685078662140587
